address,balance,lifetime,tx_in,tx_out,investment_in,payment_out,investment_to_contract/tx_in,payment_from_contract/tx_out,#addresses_paying_contract,#addresses_paid_by_contract,mean_v1,sdev_v1,mean_v2,sdev_v2,paid_rate,paid_one,percentage_some_tx_in,sdev_tx_in,percentage_some_tx_out,sdev_tx_out,owner_gets_eth_Wo_investing,owner_gets_eth_investing,owner_no_eth
0xfc3c1c0550188c649f70e78787c8cd9ff9d3b8d4,0.000000,168,14,13,13,13,0.9286,1.0,3,1,0.000000,8.544004,0.000000,0.034473,1.0000,0.0000,0.0238,3.774917,0.0238,3.344772,0,0,1
0x21aec0a028d7adec228595b24439c7eb969edd5f,0.000000,19,13,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,0.3158,0.897527,0.0000,0.0,0,0,1
0xed59cf07c469f071fa1eb268f3b62d744ae572c0,0.000000,472,65,73,46,73,0.7077,1.0,8,44,0.574468,4.470921,0.000000,0.065817,1.5870,0.6250,0.0254,4.662945,0.0106,25.726251,0,1,0
0x871aE94d2375f7A0D2fA584d0201c67eD2D35103,0.000000,0,1,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x934e65cead3c1c2824ed75d54768d53fa44e4e17,0.009900,0,5,3,2,3,0.4,1.0,1,2,0.500000,0.5,-0.004950,0.00505,1.5000,1.0000,1.0000,0.0,1.0000,0.0,0,1,0
0xE86C98C75450075d096580f843FCd67a858fFd5f,0.000000,47,24,4,19,4,0.7917,1.0,15,3,-1.000000,0.632456,0.000000,1.972501,0.2105,0.2000,0.1915,1.414214,0.0213,0.0,0,1,0
0x582e3d8dcd41f586fbcc6559f16476d20b2a3b95,0.005660,51,4778,396,4767,396,0.9977,1.0,3569,2,-1.224027,4.786883,-0.000002,371.268448,0.0831,0.0000,0.8431,130.218994,0.2157,41.796042,0,0,1
0x43f208d94a82cc2749a140b5e82636f31ce0390d,0.000000,59,241,230,86,230,0.3568,1.0,13,13,9.600000,39.445828,0.000005,0.194659,2.6744,0.8462,0.2712,21.291045,0.2542,21.180704,0,1,0
0xdd97853ba34af302f3d6a6415a750ae38e26d1fc,0.000000,59,178,169,61,169,0.3427,1.0,12,14,7.714286,27.571799,0.000003,0.145446,2.7705,1.0000,0.2712,16.01513,0.2542,16.159483,0,1,0
0xF062783C821E2f5a1d3768a20D2C281d134E0C92,0.000000,71,10,6,6,6,0.6,1.0,4,1,0.000000,3.03315,0.000000,0.725576,1.0000,0.0000,0.0563,1.658312,0.0563,0.866025,0,0,1
0xfc5de599c9fe4e5cf0744aef3139ae53aa30a566,0.000000,24,598,588,588,588,0.9833,1.0,481,1,0.000000,26.817193,0.000000,328.39859,1.0000,0.0000,0.7083,35.724823,0.6667,35.863456,0,0,1
0x2e5e995bdaa495abaf2af499d682b0277d4dd66b,0.000000,0,3,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x68bbb2461d7c4c30902621e5b6e6e3e45890c1ff,0.000000,0,2,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x935b118412c93ee969051fd14ef96c70ecd7839d,0.000000,0,2,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x9bc42587af0fe34032d8068f51bd6bd7d7e4d718,0.000000,0,5,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x7bbc3ad5c296ae6eb50228d2a6a37234d2db3ff1,0.000000,0,5,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xbdb8b73aea0c43118ce8834c91d50ae8bbd5ed32,0.002000,0,2,0,1,0,0.5,0.0,1,0,-1.000000,0.0,-0.002000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x2101ba900918345003585b0a17de91570609d706,0.000000,80,184,6,153,6,0.8315,1.0,138,6,-1.057554,0.428647,0.000000,39.913252,0.0392,0.0362,0.3375,10.139899,0.0625,0.4,0,0,1
0xb6951dba8d2aa5156440bcc4ba1af82f12c55159,0.000000,0,1,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xd7cb65c907815d1852e246198aa7687e06d96e53,0.110000,347,90,15,69,15,0.7667,1.0,62,2,-0.843750,1.922066,-0.001719,29.786527,0.2174,0.0000,0.0922,3.014937,0.0346,0.433013,0,0,1
0x6aae3fd4e1545e9865bfdc92c032cb2c712fb125,0.000000,0,1,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x5fb3D432bae33FCd418edE263D98D7440E7fA3ea,0.001000,144,2894,8,2848,8,0.9841,1.0,2275,1,-1.247803,0.758733,-0.000000,185.126845,0.0028,0.0000,0.2500,109.213928,0.0556,0.0,0,0,1
0x8cdb6436f4e08f2aeb6f7b0473423bb30743afe2,0.000000,0,2,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x7384c268c27c21654a6eb5629d36330367c910fc,0.000000,0,1,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x486e49d1622fdfc8ca760fcfc17792753a4beca8,0.000000,3,2,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,0.6667,0.0,0.0000,0.0,0,0,1
0xe648ae88a6d9b3373e115e3414be91b7cf12de4c,0.000000,1482,473,282,162,282,0.3425,1.0,71,38,1.643836,18.365669,0.000000,0.263555,1.7407,0.5070,0.1545,1.899227,0.1498,0.635949,0,1,0
0x077786701b3ddb577ef3243f9f4a219465f9d5d7,0.000000,0,3,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xdc4dc40c076691ed2050319e8f8cb16ea56d5d59,0.000000,0,1,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x6308dd690ce35138f9dab60741091665a7be48d1,0.000000,0,1,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x1fe7a92013b295ff98da0954b7a08e603754a1bf,0.019492,97,140,39,83,39,0.5929,1.0,70,35,-0.619718,0.909515,-0.000275,7.792084,0.4699,0.4857,0.3196,4.04707,0.1237,2.680951,0,0,1
0x9b26ba3a1d66cca67aa413da042a144a39c554b9,0.011191,8,21,20,11,20,0.5238,1.0,1,2,4.500000,3.5,-0.005597,0.056597,1.8182,1.0000,0.3750,4.966555,0.2500,7.0,0,1,0
