,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
36,0xEF5Ee58d50f36F2b34D87C35A9972Ea4A73426f3,0.0,0,5,3,2,3,0.4,1.0,1,1,1.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,1.0,0.0,1.0,0,1,0
37,0x2ee5054ee925a122976281e1dfea22dc873de96f,0.008,5,2,1,1,1,0.5,1.0,1,1,0.0,1.0,-0.004,0.096,1.0,0.0,0.4,0.0,0.2,0.0,1.0,1,0,0
38,0x3a81aa1bc9747d73768a9e3b8b5491744bd7a0cf,0.0,6,4,3,3,3,0.75,1.0,3,1,0.0,1.732051,0.0,2.56405,1.0,0.0,0.5,0.471405,0.3333,0.5,1.0,1,0,0
39,0x9c794584b2f482653937b529647924606446e7f4,0.0,2,9,3,1,3,0.1111,1.0,1,1,1.0,2.0,0.0,0.1,3.0,0.0,1.5,1.632993,1.0,0.5,1.0,1,0,0
40,0xbAaBE94C786FE90514Dc6fA68499FD93EE583a5c,0.0,143,256,1,1,1,0.0039,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.021,118.55894,0.007,0.0,1.0,0,0,1
41,0xD934eE44c22fE8cF0f43bf66620b3001D9172904,0.005,0,8,0,3,0,0.375,0.0,1,0,-3.0,0.0,-0.005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
42,0x6eda6ca69d86d3207e3c26570f001309ec2f64f2,0.0,0,21,1,17,1,0.8095,1.0,15,1,-1.0,0.612372,0.0,195.240044,0.0588,0.0,1.0,0.0,1.0,0.0,1.0,1,0,0
43,0xadd553d102761875207c8bca3fd8f3d7d40df1dc,0.0,485,5,2,2,2,0.4,1.0,2,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0062,0.942809,0.0041,0.0,1.0,0,0,1
44,0xc5c49c5f57d9f1635dde956c6858146717879600,0.0,71,244,130,100,130,0.4098,1.0,24,20,1.153846,11.210202,-0.0,0.79448,1.3,0.75,0.9859,3.223764,0.9718,1.210297,0.9,0,1,0
45,0xeBdf586B5C2283156894e7E4EF8a29CA8b132830,0.0,0,5,1,1,1,0.2,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,1,0
46,0xe1ebe89ff69779a29ddb3997d6b8ed0312e5b43a,0.0,81,136,48,42,48,0.3088,1.0,6,6,1.0,6.110101,0.0,0.329342,1.1429,1.0,0.3827,3.148757,0.284,1.529792,1.0,0,0,1
47,0xc755af998e8c50d6df1779ce3d7e4084a17b4c56,0.0,69,1493,1408,1034,1408,0.6926,1.0,193,142,1.466667,24.222293,0.0,94.84403,1.3617,0.4145,1.0145,15.236911,1.0145,14.037239,0.9085,0,0,1
48,0x94eb295ec89d759bf803628d2c58de09d8f67950,0.001964,61,32,7,7,7,0.2188,1.0,6,4,0.0,1.247219,-0.000218,0.033147,1.0,0.1667,0.2459,1.203698,0.1148,0.0,1.0,1,0,0
49,0x9e611784170b297091de56eb50162548d9b54d87,0.0,37,25,20,4,20,0.16,1.0,4,2,4.0,7.549834,0.0,1.063273,5.0,0.5,0.1622,5.367081,0.0811,6.599663,1.0,0,0,1
50,0xb078ed7622695b49bdc8d297625d70339548f8d9,0.0,1,35,34,33,33,0.9429,0.9706,13,1,0.0,9.273618,0.0,6.231669,1.0,0.0,2.0,14.5,2.0,14.0,1.0,1,0,0
