,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
14,0x5e84c1a6e8b7cd42041004de5cd911d537c5c007,0.0,884,163,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,22.582834,0.0,0.0,0.0,0,0,1
15,0xb4aa2a270a3ba133b62a7de6546c8cec096c2875,0.0,0,10,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
16,0x6203188c0dd1a4607614dbc8af409e91ed46def0,0.0,17,213,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0588,8.789198,0.0,0.0,0.0,0,0,1
17,0x5185c27e3a302c9b1228def81b7d4aeae8d1edc9,0.0,0,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
18,0xa923c8778fb00047ce5c9fc2aaea16128a06c801,0.0,191,558,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157,261.629509,0.0,0.0,0.0,0,0,1
19,0x21aec0a028d7adec228595b24439c7eb969edd5f,0.0,19,13,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3158,0.897527,0.0,0.0,0.0,0,0,1
20,0xe7f06e64e0d04c6cfedf7e9079d56d0fb7200a2e,3.00001,552,3,0,2,0,0.6667,0.0,2,0,-1.0,0.0,-1.500005,1.499995,0.0,0.0,0.0036,0.5,0.0,0.0,0.0,0,0,1
21,0x2f55eeacb092b7a50d6650a2a5c45c2d59043dbc,0.0,273,17,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,2.182987,0.0,0.0,0.0,0,0,1
22,0x1963572001614ce6c0527dfa7bd9de605c79779d,0.0,25,8,1,1,1,0.125,1.0,1,1,0.0,1.0,0.0,0.99,1.0,0.0,0.12,1.699673,0.04,0.0,1.0,1,0,0
23,0x935b118412c93ee969051fd14ef96c70ecd7839d,0.0,0,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
