address,balance,lifetime,#investment_to_contract,#payment_from_contract,#addresses_paying_contract,#addresses_paid_by_contract,mean_v1,sdev_v1,mean_v2,sdev_v2,paid_rate,paid_one,percentage_some_tx_in,sdev_tx_in,percentage_some_tx_out,sdev_tx_out,owner_gets_eth_Wo_investing,owner_gets_eth_investing,owner_no_eth
0xc12cb61701c82e52262f1e795a5d2181fefc4391,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x07ba910f747b472ba4840c184f6b6e92b0e7495e,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,48.0000,7.87398,0.0000,0.0,0,0,1
0x92A92648bd788DcAa086773C975d928b4A60A182,0.202000,0,3,0,3,0,-1.000000,0.0,-0.067333,0.046907,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x974973D316Be10725444EF4F6E3bf1eb5E9F6678,0.210000,0,7,0,3,0,-2.333333,1.247219,-0.070000,0.046007,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x7c1D82A70285f11bFfe5De9053f93af9d270c411,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,6.0000,0.57735,0.0000,0.0,0,0,1
0x6fff3806bbac52a20e0d79bc538d527f6a22c96b,5.131153,1423,2608,3,2056,1,-1.266407,0.82793,-0.002494,160.644067,0.0012,0.0000,0.4786,37.452049,0.0021,0.0,0,0,1
0x0c04d4f331da8df75f9e2e271e3f3f1494c66c36,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,105.0000,9.596324,0.0000,0.0,0,0,1
0x70da2b13b670ff2a1b45d83550089631aa20e882,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,0.5,0.0000,0.0,0,0,1
0xfb7c9bd2045cd9129839a70c67aabb0925b1fbe8,0.000000,101,26,1,26,1,-0.925926,0.377705,0.000000,853.354195,0.0385,0.0000,0.3267,4.398848,0.0099,0.0,0,0,1
0x5703c635a16abb44465a2d4b25334acaaead1fd6,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x6527d0fd6df77ed928db32b761b32e9b6e332961,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xa199f67444e0af1150aecc025242d385ebc37247,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,0.0,0.0000,0.0,0,0,1
0x7588C48b40a767198F6aBC18bC393B719E784230,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xbE5C4FF568993c713722eD09a9ED4C8fb2E3fB3B,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,3.0000,0.471405,0.0000,0.0,0,0,1
0xB7B46129c580D8bb4F643ec29130a99E0593A696,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x36aff6fe8ffe81844bba32427f622af6c47eab66,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,17.0000,1.589324,0.0000,0.0,0,0,1
0x377dFA7BAb23A798cA1fa0923BCD4D4ef2184d85,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,2.5,0.0000,0.0,0,0,1
0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,25.0000,375.515637,0.0000,0.0,0,0,1
0xDf4afDa78FE045d0Cb3CEDf8cFb3cc6634AB3250,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x390365cef67dae207db323496d24f643dd3ae581,0.000000,575,2,1,1,1,-1.000000,0.0,0.000000,0.0,0.5000,1.0000,0.0087,2.727636,0.0017,0.0,0,1,0
0x17f3699461888bcaf15199cfd5ee84d7d74848d4,0.000000,86,5,4,1,1,-1.000000,0.0,0.000000,0.0,0.8000,1.0000,0.0349,9.273618,0.0116,0.0,0,0,1
0x9ce6a4dbf61c13e23edf47b41e7a2ba9e525d765,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xea4a98478457637e5e5bbfecb3f8917cb68885af,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,1.5,0.0000,0.0,0,0,1
0xafcc79d4cbe7e5b6e6997bbe7233e8e9179f664a,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x1a41cdcb663cf672fbc6344b851736af2edbe703,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xD65960FAcb8E4a2dFcb2C2212cb2e44a02e2a57E,0.010000,0,1,0,1,0,-1.000000,0.0,-0.010000,0.0,0.0000,0.0000,398.0000,205.661354,0.0000,0.0,0,0,1
0x27ba840c2e65d54455434533daade769333f4aff,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xb0866289e870d2efc282406cf4123df6e5bcb652,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,62.0000,323.720954,0.0000,0.0,0,0,1
0x2df0e612dad9ffe8141b3987f60608742db2feca,0.000000,31,32,3,20,2,-1.380952,1.132893,0.000000,187.424369,0.0938,0.0500,0.5806,1.328696,0.0323,0.0,0,1,0
0x2584f892a2e50b5493ed108fa61888ba373ec02d,0.000000,2,252,252,213,1,0.000000,17.272148,0.000000,331.88136,1.0000,0.0000,1.5000,83.235943,1.0000,72.0,0,0,1
0xbcd4cd3c7048f64bf0ef61cb0220c2ece8db6c35,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,0.0,0.0000,0.0,0,0,1
0x0961375ed779fe16435d5d430da00a5bac527e46,0.000000,12,24,24,17,1,0.000000,5.897269,0.000000,423.900239,1.0000,0.0000,0.9167,1.285649,0.9167,1.285649,0,0,1
0x35d492bee1e166e30ce63eeaec050afd9e7340b2,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,7.0000,0.451754,0.0000,0.0,0,0,1
0xc2221b777857f4a862a8c528d24b35cc995dd8b1,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,0.5,0.0000,0.0,0,0,1
0xcdcab3c098870fd305bb415259240a3a3e480d91,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xa70f9a2b087360ffdc280c94ea676c9bd60c42f8,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,112.0000,119.127258,0.0000,0.0,0,0,1
0x8a113a57e74aef531bee8de7e16e604916f053ac,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x303f942c01f3ecb52b60b0a609b853b067d839c0,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xcebbfe09bab5493714a42de8c3a58fd385ce9c03,0.000000,31,31,3,4,3,-5.600000,6.468385,0.000000,0.312986,0.0968,0.5000,0.0645,15.5,0.0645,0.5,0,1,0
0x427e4f8903ba5bbb08ddc9186da285e6b18da588,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,20.0000,23.311531,0.0000,0.0,0,0,1
0x046e6bea4d53727ccedc2c252ea61d042ff7aba6,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x3dd99088eaaaf4dd958899d65c8d1e11d04d3376,0.000000,0,2,2,2,1,0.000000,1.0,0.000000,0.027569,1.0000,0.5000,1.0000,0.0,1.0000,0.0,0,1,0
0x2c4d1853a193573876ccfce414e3d9f1687ec917,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x350791c10c94cbf154c6d1edfd14e09bb46edff5,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,3.0000,6.128259,0.0000,0.0,0,0,1
0xAef2DD253116E83325eA3dD392c46f1322B53659,0.005000,0,4,0,2,0,-2.000000,1.0,-0.002500,0.0015,0.0000,0.0000,9.0000,1.257079,0.0000,0.0,0,0,1
0x0d70db256cae067326eb63c09583afddf75f117b,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,0.5,0.0000,0.0,0,0,1
0x3a773baa30d09f04da0bd869b142ea5503a31022,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,8.0000,17.656001,0.0000,0.0,0,0,1
0x41ebb67c868f5f28bcd823ddbf39c0f32b191256,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,17.0000,7.74954,0.0000,0.0,0,0,1
0x0a61c13945cf8dc008097464534e3b0aeee557d6,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,3.0000,1.414214,0.0000,0.0,0,0,1
0xd0d9e2d407b726994b202a434e01e714b832153e,0.000000,101,27,3,19,1,-1.200000,1.122497,0.000000,34.93225,0.1111,0.0000,0.1287,1.865285,0.0396,0.0,0,0,1
0x1c1aa049d56b7ef02dca61afc4a815e9aa95240b,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x997A9AD5e6B2cf8841538b95BA8D5c367316eB98,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xdd8c6e99e8641ed9946e2b4de524e335a9840321,0.000000,74,8,1,7,1,-0.875000,0.780625,0.000000,0.695916,0.1250,0.0000,0.0811,0.687184,0.0135,0.0,1,0,0
0x9e386da8cdfcf8b9e7490e3f2a4589c570cb2b2f,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,260.0000,12.65893,0.0000,0.0,0,0,1
0x92a06f3ed11af181d832bb474d017906acb8c299,0.000000,491,12,12,12,1,0.000000,3.464102,0.000000,34.344695,1.0000,0.0000,0.0102,2.244994,0.0061,2.828427,1,0,0
0x58978e8CaCcf56faDAA80Ef52f5c684045306839,5.800000,0,3,0,2,0,-1.500000,0.5,-2.900000,0.0,0.0000,0.0000,3.0000,2.160247,0.0000,0.0,0,0,1
0xf2570186500a46986f3139f65afedc2afe4f445d,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,0.5,0.0000,0.0,0,0,1
0x8a33b0b92c8d9002adc1789d6a10013abfcdd95e,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x8E1a99D8dBE5687F74C74f18295C4928Ce2F676d,0.031346,0,11,0,9,0,-1.222222,0.628539,-0.003483,0.005393,0.0000,0.0000,6.0000,3.944053,0.0000,0.0,0,0,1
0xdF35D37907D70b896DD602E71B6e22339f0c62D9,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,0.5,0.0000,0.0,0,0,1
0x6325cff224c4947fd7b4e2e2d29e1a2a5e3fc80f,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x8a7afe3a6dbf4c29a615758e9a88bc5cea71f0b4,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xf032a5291ebccfefc2e31a7e156e7f700c8e6d24,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x22db6364e421579cf8103ad542c47a300c335f5b,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x3e30261a5fdb7316eecf81b2bbcd7c4978ca8fe0,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x0c305289f1cffa5f057978c8f1c81af68dd77a88,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x6c0ddf864186d6f645c1160478a27e3e1263f2f5,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x962719a9929583d8a5e93968526e3aebd60d420a,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x23d5df36a4d1851abd65dd64f9e8fc26fb8fbdb9,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xacd58e576ebe3030805e533872671b281a1ee8fa,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x7ba0c37745effa1310de5695ab733ff26349d890,0.000000,1,1,1,1,1,0.000000,1.0,0.000000,0.2,1.0000,0.0000,2.0000,0.0,1.0000,0.0,1,0,0
0x08d01228a985b3a86a993342436fcb411b43a312,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xae592333a0584b4e601bde467a77d14364a9ef08,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x417bc80bdea792de29dd34afab9f816a2318ea9e,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xe82180c13c4f7adaeca8acfa24d08e844ccb611e,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x9727be2e5eacce162fae9236a2c7b6cd826fac02,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xa35aee643f9c74bcae34960b8e4ec7b478da5fd4,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x0c571ac8537713d388781c30f4f925f2f18d46f3,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x64b91ccc04b71c89d38124d1e3b412f8f917be2f,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xe3ef1f1784ac64de052faa7cae038abdc59e9c73,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x658aae60865b3438205f073d58d0a34a6ea05573,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
